1,100.83
2,100.91
3,100.74
4,99.57
5,100.85
6,101.62
7,99.05
8,98.54
9,97.49
10,97.21
11,100.94
12,102.22
13,104.33
14,104.1
15,103.57
16,104.05
17,103.94
18,105.05
19,101.66
20,99.77
21,100.63
22,100.62
23,102.22
24,103.58
25,102.25
26,102.7
27,101.95
28,103.42
29,104.94
30,105.39
31,106.2
32,108.23
33,111.29
34,113.32
35,115.18
36,117.27
37,119.4
38,121.57
39,119.86
40,121.03
41,124.41
42,123.69
43,120.74
44,120.3
45,119.16
46,121.58
47,123.6
48,125.62
49,129.71
50,132
51,134.71
52,135.84
53,135.35
54,138.36
55,137.36
56,132.3
57,132.89
58,134
59,135.58
60,123.82
61,115.25
62,115.49
63,114.84
64,113.69
65,116.17
66,116.19
67,118.77
68,117.41
69,116.93
70,117.98
71,122.05
72,123.74
73,124.65
74,127.04
75,125.82
76,123.76
77,125.57
78,125.04
79,123.67
80,127.25
81,128.55
82,130.58
83,131.76
84,133.75
85,133.54
86,133.67
87,134.37
88,133.72
89,129.69
90,131.01
91,132.68
92,131.76
93,134.96
94,136.25
95,137.24
96,138.13
97,138.64
98,138.52
99,137.98
100,140.02
101,142.63
102,145.07
103,147.84
104,149.4
105,150.44
106,148.07
107,150.56
108,150.65
109,149.98
110,152.29
111,140.71
112,136.59
113,133.75
114,136.88
115,135.86
116,139.07
117,139.85
118,144.26
119,147.49
120,150.03
121,150.17
122,150.83
123,148.02
124,153.87
125,156.14
126,159.7
127,162.3
128,165.25
129,162.56
130,160.08
131,158.03
132,146.19
133,144.44
134,138.8
135,129.25
136,136.01
137,137.75
138,134.66
139,137.92
140,140.25
141,143.06
142,147.24
143,149.48
144,150.45
145,152.68
146,156.59
147,156.51
148,159.18
149,160.87
150,164.82
151,169.99
152,169.63
153,172.49
154,175.88
155,179.89
156,181.7
157,181.52
158,185.61
159,189.58
160,195.33
161,190.77
162,193.43
163,197.79
164,197.24
165,196.17
166,192.78
167,193.51
168,201.76
169,206.07
170,208.15
171,203.02
172,191.22
173,197.91
174,201.28
175,203.55
176,197.66
177,201.13
178,197.52
179,197.81
180,197.87
181,193.89
182,192.29
183,198.01
184,199.89
185,202.17
186,206.29
187,208.82
188,212.65
189,215.15
190,216.64
191,219.56
192,216.68
193,214.84
194,216.51
195,219.23
196,223.47
197,221.3
198,222.76
199,219.56
200,219.76
201,212.8
202,210.54
203,212.76
204,208
205,211.63
206,211.36
207,212.12
208,206.76
209,197.55
210,189.63
211,189.81
212,184.27
213,175.12
214,184.37
215,191.27
216,190.24
217,191.91
218,195.24
219,199.97
220,200.16
221,198.6
222,201.02
223,200.88
